<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240206;095932;2896.000000000;1;9541093811;S
20240206;095932;2896.000000000;1;9541093812;S
20240206;095932;2896.000000000;1;9541093813;S
20240206;095932;2896.000000000;1;9541093814;B
20240206;095932;2896.000000000;4;9541093815;B
20240206;095932;2896.000000000;1;9541093816;B
20240206;095932;2896.000000000;2;9541093817;B
20240206;095932;2896.000000000;1;9541093818;B
20240206;095932;2896.000000000;5;9541093819;B
20240206;095932;2896.000000000;2;9541093820;B
20240206;095932;2896.000000000;1;9541093821;S
20240206;095932;2896.000000000;1;9541093822;S
20240206;095932;2896.000000000;2;9541093823;S
20240206;095932;2896.000000000;7;9541093824;B
20240206;095932;2896.000000000;2;9541093825;B
20240206;095932;2896.000000000;34;9541093826;S
20240206;095932;2896.000000000;25;9541093827;B
20240206;095932;2896.000000000;6;9541093828;B
20240206;095932;2896.000000000;2;9541093829;B
20240206;095932;2896.000000000;75;9541093830;S
20240206;095932;2896.000000000;10;9541093831;B
20240206;095932;2896.000000000;25;9541093832;B
20240206;100000;2891.000000000;3;9541099283;S
20240206;100000;2891.500000000;5;9541099724;B
20240206;100000;2891.500000000;71;9541099725;B
20240206;100001;2891.000000000;1;9541100108;S
20240206;100001;2891.000000000;1;9541100333;S
20240206;100001;2891.000000000;5;9541100354;S
20240206;100001;2891.000000000;7;9541100502;S
20240206;100001;2891.000000000;2;9541100644;S
20240206;100002;2892.000000000;10;9541101604;B
20240206;100002;2891.500000000;1;9541101616;S
20240206;100002;2889.000000000;2;9541101687;S
20240206;100004;2890.500000000;2;9541102395;B
20240206;100005;2890.500000000;1;9541103158;B
20240206;100005;2890.500000000;1;9541104032;B
20240206;100006;2888.500000000;1;9541104846;S
20240206;100007;2888.500000000;5;9541105958;S
20240206;100007;2890.500000000;1;9541106424;B
20240206;100008;2888.500000000;3;9541106606;S
20240206;100008;2890.500000000;20;9541106725;B
20240206;100008;2890.500000000;1;9541106726;B
20240206;100010;2888.500000000;1;9541107135;S
20240206;100010;2890.500000000;1;9541107406;B
20240206;100011;2890.500000000;6;9541107433;B
20240206;100011;2890.500000000;4;9541107548;B
20240206;100013;2889.000000000;4;9541108199;S
20240206;100014;2889.000000000;1;9541108544;S
20240206;100015;2889.500000000;3;9541108700;S
20240206;100017;2888.500000000;1;9541109313;S
20240206;100018;2889.000000000;1;9541109827;S
20240206;100024;2890.500000000;10;9541110995;B
20240206;100025;2890.000000000;3;9541111213;S
20240206;100026;2890.500000000;1;9541111609;B
20240206;100031;2890.500000000;1;9541112631;B
20240206;100033;2890.500000000;1;9541113154;B
20240206;100036;2890.500000000;1;9541114429;B
20240206;100037;2890.500000000;4;9541114657;B
20240206;100037;2890.500000000;31;9541114951;B
20240206;100037;2890.500000000;5;9541114952;B
20240206;100038;2890.500000000;1;9541115184;B
20240206;100042;2890.000000000;10;9541116022;S
20240206;100047;2888.500000000;20;9541117388;S
20240206;100100;2888.500000000;2;9541120298;S
20240206;100101;2888.500000000;3;9541120560;S
20240206;100111;2889.500000000;1;9541122316;B
20240206;100113;2888.500000000;19;9541122730;S
20240206;100115;2888.500000000;2;9541122895;S
20240206;100116;2888.500000000;13;9541123374;S
20240206;100120;2888.500000000;1;9541124336;S
20240206;100123;2888.500000000;22;9541124708;S
20240206;100123;2888.500000000;16;9541124709;S
20240206;100123;2888.500000000;6;9541124710;S
20240206;100131;2888.500000000;6;9541126558;S
20240206;100132;2888.000000000;10;9541126677;S
20240206;100132;2888.000000000;1;9541126678;S
20240206;100132;2888.000000000;15;9541126679;S
20240206;100132;2887.500000000;4;9541126680;S
20240206;100132;2887.500000000;27;9541126681;S
20240206;100132;2887.000000000;1;9541126682;S
20240206;100132;2887.000000000;7;9541126683;S
20240206;100132;2887.000000000;28;9541126684;S
20240206;100132;2887.000000000;5;9541126685;S
20240206;100132;2887.000000000;1;9541126686;S
20240206;100132;2887.000000000;100;9541126687;S
20240206;100132;2887.000000000;1;9541126688;S
20240206;100132;2887.000000000;1;9541126689;S
20240206;100132;2887.000000000;6;9541126690;S
20240206;100132;2887.000000000;5;9541126691;S
20240206;100132;2887.000000000;10;9541126692;S
20240206;100132;2887.000000000;28;9541126693;S
20240206;100135;2887.000000000;4;9541127412;S
20240206;100136;2887.000000000;3;9541127583;S
